Loading python/3.11.6--gcc--8.5.0
  Loading requirement: bzip2/1.0.8-gp5wcz5 libmd/1.0.4-wja3f5q
    libbsd/0.11.7-cgxjopl expat/2.5.0-bptl3xw ncurses/6.4-asx3jea
    readline/8.2-nyw6mp6 gdbm/1.23-fs6otck libiconv/1.17-d7yvx2s
    xz/5.4.1-hubmwr5 zlib-ng/2.1.4-6htiapk libxml2/2.10.3-5eeeokp
    pigz/2.7-bopr5vp zstd/1.5.5-gawytfl tar/1.34-amqus5s gettext/0.22.3-2g7elif
    libffi/3.4.4-6r7brdq libxcrypt/4.4.35-ss2rzin sqlite/3.43.2
    util-linux-uuid/2.38.1-jkdi7kv
tokens per iteration will be: 524,288
Training DataLoader: total number of tokens: 5000000000 across 50 files
Validation DataLoader: total number of tokens: 100000000 across 1 files
Initializing a new model from scratch
num decayed parameter tensors: 51, with 193,658,880 parameters
num non-decayed parameter tensors: 109, with 271,488 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: val loss 10.8264
iter 172: loss 7.0016, time 1759.94ms, lr 0.002997810664959306, norm:  0.3911, tok/sec: 297901.03985898144
iter 173: loss 6.9915, time 1760.18ms, lr 0.0029977851398560952, norm:  0.2279, tok/sec: 297860.32564796804
iter 174: loss 7.0856, time 1759.40ms, lr 0.0029977594669274178, norm:  0.3689, tok/sec: 297992.5563021778
iter 175: loss 6.8855, time 1759.91ms, lr 0.002997733646175807, norm:  0.3827, tok/sec: 297906.6091693574
iter 176: loss 6.8776, time 1760.09ms, lr 0.0029977076776038117, norm:  0.2717, tok/sec: 297875.37529353757
iter 177: loss 7.1429, time 1759.93ms, lr 0.0029976815612139944, norm:  0.3075, tok/sec: 297902.37163164915
iter 178: loss 6.8556, time 1760.69ms, lr 0.0029976552970089336, norm:  0.2398, tok/sec: 297773.60799785185
iter 179: loss 6.9704, time 1759.46ms, lr 0.0029976288849912205, norm:  0.3452, tok/sec: 297981.4922186188
iter 180: loss 6.8764, time 1759.88ms, lr 0.002997602325163463, norm:  0.2840, tok/sec: 297911.8961711478
iter 181: loss 6.9943, time 1759.90ms, lr 0.002997575617528281, norm:  0.4361, tok/sec: 297908.50601100933
iter 182: loss 6.8215, time 1760.87ms, lr 0.0029975487620883113, norm:  0.3359, tok/sec: 297743.7323578888
iter 183: loss 6.7151, time 1760.01ms, lr 0.002997521758846204, norm:  0.3645, tok/sec: 297889.86150936584
iter 184: loss 6.8507, time 1759.55ms, lr 0.0029974946078046246, norm:  0.2669, tok/sec: 297967.6027075606
iter 185: loss 6.8918, time 1759.82ms, lr 0.002997467308966253, norm:  0.3122, tok/sec: 297921.5827681486
